dates,content_score,title_score,firstP_score,category
2019-03-20,0.12508333333333335,-0.5656,0.0,businessinsider
2019-04-03,0.06360400000000001,-0.1695,0.7351,businessinsider
2019-03-20,0.3085333333333333,0.7579,0.0,businessinsider
2019-03-19,0.10927142857142856,0.0,0.2357,businessinsider
2019-03-29,-0.4337857142857143,-0.4767,0.2732,businessinsider
2019-04-09,0.1078081081081081,0.6705,-0.09969999999999997,businessinsider
2019-03-21,-0.017306666666666668,0.0,0.2263,businessinsider
2019-03-12,-0.06244761904761905,-0.3818,-0.7351,businessinsider
2019-03-14,0.13408,0.0,-0.0516,businessinsider
2019-04-03,0.05336666666666666,0.0,-0.14800000000000002,businessinsider
2019-03-13,-0.34888,-0.5574,0.0,businessinsider
2019-03-27,0.0778986301369863,-0.34,0.6705,businessinsider
2019-04-10,0.25366,0.4215,0.20095,businessinsider
2019-03-13,-0.34888,-0.5574,0.0,businessinsider
2019-04-09,-0.19526428571428567,0.7579,-0.836,marketwatch
2019-04-01,0.07733888888888889,0.0,0.3818,marketwatch
2019-03-12,0.10809473684210527,0.0,0.42935,marketwatch
2019-03-18,0.15431764705882353,0.0,0.5423,marketwatch
2019-04-02,0.3301466666666667,0.0,0.28595,marketwatch
2019-04-05,0.3663272727272727,0.1779,0.389,marketwatch
2019-04-09,-0.073435,0.0,-0.064,marketwatch
2019-03-19,-0.11135714285714284,0.0772,-0.4971,marketwatch
2019-03-19,0.13685,0.0,0.0,marketwatch
2019-03-29,0.09032653061224488,0.0,0.2313,marketwatch
2019-03-20,0.06796119402985076,-0.2023,0.12186666666666668,marketwatch
2019-04-08,0.11571463414634145,0.0,0.31245,marketwatch
2019-03-14,-0.000802857142857148,-0.6249,0.2023,marketwatch
2019-03-18,0.045353333333333336,0.0,-0.8074,marketwatch
2019-03-28,0.06958720930232559,0.4019,-0.007229999999999999,marketwatch
2019-04-04,-0.044554166666666666,-0.6249,0.2732,marketwatch
2019-03-11,-0.0009223880597014864,-0.1027,-0.4939,marketwatch
2019-03-13,0.04516382978723405,0.3612,0.18899999999999997,marketwatch
2019-04-04,-0.035830952380952366,-0.6908,0.2644,marketwatch
2019-03-25,0.18349074074074076,0.0,0.64795,marketwatch
2019-03-11,0.08081875000000001,-0.765,0.4767,marketwatch
2019-03-12,0.05117708333333332,0.1779,0.69445,marketwatch
2019-03-14,-0.12608135593220335,-0.0772,0.4588,marketwatch
2019-03-15,-0.16361315789473685,-0.5994,-0.5822,marketwatch
2019-03-22,-0.05486792452830185,-0.3612,0.34,marketwatch
2019-03-21,0.08894203821656048,0.0,0.3715,marketwatch
2019-03-28,-0.12017999999999998,-0.2732,-0.29295,marketwatch
2019-03-13,0.07072499999999997,0.0,-0.04694000000000004,marketwatch
2019-04-04,0.3127666666666667,0.34,0.3404833333333333,marketwatch
2019-03-10,0.15302857142857146,0.0,0.14015,marketwatch
2019-04-09,0.42285,0.7096,0.5515800000000001,marketwatch
2019-03-28,-0.09664999999999996,-0.4588,-0.09966,marketwatch
2019-03-11,0.215,0.0,0.24188,marketwatch
2019-04-04,0.3200875,0.0,0.41002,marketwatch
2019-04-10,0.060225,0.0,0.06764999999999999,marketwatch
2019-04-04,0.2297555555555556,-0.5106,0.3528166666666666,marketwatch
2019-04-05,0.3033,0.34,0.3262833333333333,marketwatch
2019-03-18,0.2107909090909091,0.0,0.2260125,marketwatch
2019-03-21,-0.03564444444444443,-0.0772,-0.10774285714285714,marketwatch
2019-03-13,0.2359888888888889,0.4588,0.18813333333333332,marketwatch
2019-03-18,-0.14806666666666665,-0.7579,-0.15834999999999996,marketwatch
2019-03-14,0.03498666666666668,-0.6124,0.054308333333333327,marketwatch
2019-03-14,0.10857,-0.0516,0.04073333333333333,marketwatch
2019-03-14,0.11220999999999999,0.0,-0.6161,marketwatch
2019-04-05,0.09263333333333336,0.0,0.34,marketwatch
2019-03-20,0.039309999999999984,0.0772,0.4019,marketwatch
2019-04-08,-0.03332857142857144,-0.2263,0.0,marketwatch
