dates,url,title,scores
2019-03-18,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-18-2019-2019-3-1028037246,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, F, WP, FIS)",-0.11818000000000001
2019-03-15,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-15-2019-2019-3-1028033597,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AAPL, ULTA)",0.11111176470588235
2019-03-11,https://www.businessinsider.com/stock-market-news-opening-bell-march-11-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, TSLA, NVDA, MLNX, AMZN)",0.0
2019-03-23,https://www.businessinsider.com/teslas-biggest-challenges-in-2019-2019-3,Tesla is having another chaotic year — these are the biggest challenges Tesla has faced so far in 2019 (TSLA),0.07612307692307692
2019-03-22,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-22-2019-2019-3-1028051576,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, NKE, LEVI)",0.024872727272727258
2019-03-13,https://markets.businessinsider.com/news/stocks/tesla-stock-price-model-y-could-weaken-model-3-demand-2019-3-1028027670,Goldman Sachs says Tesla's new Model Y SUV could make its Model 3 demand problems even worse (TSLA),-0.2490375
2019-03-12,https://www.businessinsider.com/tesla-semi-reservations-available-on-website-2019-3,"Tesla customers can now pay up to $200,000 to reserve the electric Semi truck on the company's website (TSLA)",-0.1027
2019-03-27,https://www.businessinsider.com/stock-market-news-opening-bell-march-27-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, HMNY)",-0.03925185185185186
2019-03-14,http://markets.businessinsider.com/news/stocks/Tesla-stock-is-gaining-ground-ahead-of-its-Model-Y-unveiling-TSLA-1028031435,Tesla stock is gaining ground ahead of its Model Y unveiling (TSLA),0.016565306122448976
2019-04-04,https://www.businessinsider.com/millennials-tesla-deliveries-drop-2019-4,Millennials were unloading their Tesla stock ahead of the disappointing first-quarter deliveries (TSLA),0.26055384615384614
2019-04-04,https://www.businessinsider.com/jpmorgan-tesla-just-undermined-elon-musks-defense-against-the-sec-2019-4,JPMORGAN: Tesla just undermined Elon Musk's defense against the SEC (TSLA),-0.21278181818181816
2019-03-21,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-21-2019-2019-3-1028048218,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA)",0.09723793103448275
2019-04-09,https://www.businessinsider.com/tesla-stock-price-where-wall-street-analysts-stand-2019-4,Tesla is a battleground stock. Here's where major Wall Street analysts stand right now. (TSLA),-0.13396666666666665
2019-04-04,https://www.businessinsider.com/tesla-is-singlehandedly-growing-electric-car-market-despite-bad-quarter-2019-4,"Despite a bad quarter, Tesla is singlehandedly growing the sluggish electric-car market (TSLA)",0.2144
2019-04-04,https://www.businessinsider.com/tesla-updates-navigate-on-autopilot-car-feature-2019-4,Tesla just updated its ‘Navigate on Autopilot’ feature — here’s what’s new (TSLA),-0.07734999999999999
2019-04-10,https://www.businessinsider.com/tesla-rises-on-news-that-the-tax-credit-may-be-extended-2019-4,Tesla pops after news that the tax credit for electric vehicles may be extended (TSLA),0.03329473684210525
2019-04-03,https://www.businessinsider.com/tesla-model-s-driving-with-no-one-behind-the-wheel-2019-4,Video appears to show a Tesla Model S traveling on the road at speed with no one in the driver's seat (TSLA),-0.045450000000000004
2019-04-04,https://www.businessinsider.com/tesla-disappointing-q1-sales-not-reason-to-panic-2019-4,"Tesla's disappointing first-quarter sales numbers aren't a reason to panic, but they reveal big challenges for the company, experts say (TSLA)",0.02916000000000001
2019-03-11,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-march-11-2019-2019-3-1028018490,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, TSLA, NVDA, MLNX, AMZN)",0.0
2019-03-15,https://www.businessinsider.com/stock-market-news-opening-bell-march-15-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AAPL, ULTA)",0.07837142857142858
2019-03-27,https://www.businessinsider.com/elon-musk-contradicts-teslas-return-policy-on-twitter-2019-3,Elon Musk contradicts Tesla's return policy on Twitter (TSLA),-0.34
2019-03-17,https://www.businessinsider.com/tesla-stock-price-fundamental-shift-in-trading-2019-3,Tesla's stock doesn't trade like it used to (TSLA),-0.14488684210526317
2019-04-04,https://www.businessinsider.com/tesla-stock-price-delivery-numbers-miss-stoking-demand-concerns-2019-4,Tesla analysts are questioning how many people even want to buy Elon Musk's cars after weak delivery numbers (TSLA),-0.4588
2019-04-04,https://www.businessinsider.com/tesla-q1-2019-production-and-delivery-numbers-2019-4,"Tesla says it delivered about 63,000 vehicles in the first quarter of 2019, a 31% drop from Q4 2018 (TSLA)",-0.2732
2019-04-09,https://www.businessinsider.com/stock-market-news-opening-bell-april-9-2019-2019-4,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, AMZN, GOOG)",0.0
